鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
草屯鎮,土地,草屯段97-3地號,29.0,商,,,1080118,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4044450,139464,,0.0,0,含增建或未登記建物。；,RPSNMLOKKHOFFBM88CA,0.0,0.0,0.0,,
埔里鎮,房地(土地+建物),南投縣埔里鎮九成街６０巷３弄１７號,91.0,,鄉村區,乙種建築用地,1071009,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0701027,107.21,3,1,2,有,無,3600000,33579,,0.0,0,,RPSNMLMKKHOFFCM78CA,101.62,0.0,5.59,,
魚池鄉,土地,頭社段727-7地號,1756.0,,山坡地保育區,農牧用地,1071108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,57,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLOKKHOFFCM78CA,0.0,0.0,0.0,,
國姓鄉,土地,龜溝段730地號,808.73,,特定農業區,農牧用地,1071218,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,989,,0.0,0,,RPQNMLQJLHOFFCM98CA,0.0,0.0,0.0,,
竹山鎮,房地(土地+建物),南投縣竹山鎮枋坪巷２之３２弄１６號,64.84,住,,,1071205,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0850301,158.61,5,2,3,有,無,2980000,18788,,0.0,0,,RPRNMLMKKHOFFDM78CA,153.54,5.07,0.0,,
埔里鎮,土地,珠格段205-2地號,5061.87,,特定農業區,農牧用地,1080125,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7896532,1560,,0.0,0,,RPSNMLOKKHOFFCM09DA,0.0,0.0,0.0,,
名間鄉,土地,名松段170地號,100.5,農,,,1080123,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,9950,,0.0,0,,RPXNMLQJLHOFFAM96DA,0.0,0.0,0.0,,
集集鎮,土地,中溝段715-1地號,3062.33,農,,,1080109,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6430894,2100,,0.0,0,,RPPNMLNKKHOFFEM78CA,0.0,0.0,0.0,,
竹山鎮,土地,圓山段688地號,1013.18,,山坡地保育區,林業用地,1080131,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,75989,75,,0.0,0,急買急賣。；有民情風俗因素之交易。；,RPPNMLRJLHOFFDM09CA,0.0,0.0,0.0,,
